round,plate,row,col,od600,od750,r3empty600,r3empty750,r3startRO600,r3startRO750,r3endRO600,r3endRO750,meanROr3600,meanROr3750,blankod600,blankod750,note
3,2,C,9,0.044,0.043,0.048,0.045,0.039,0.039,0.04,0.039,0.0395,0.039,0.0045,0.004,
3,2,D,9,0.051,0.071,0.048,0.046,0.04,0.039,0.04,0.04,0.04,0.039,0.011,0.032,
3,2,E,9,0.04,0.043,0.046,0.048,0.039,0.041,0.039,0.042,0.039,0.0405,0.001,0.0025,
3,2,F,9,0.053,0.056,0.047,0.044,0.039,0.038,0.039,0.038,0.039,0.04,0.014,0.016,
3,2,G,9,0.041,0.044,0.047,0.047,0.039,0.041,0.039,0.041,0.039,0.0395,0.002,0.0045,
3,2,H,9,0.043,0.042,0.048,0.045,0.039,0.038,0.041,0.04,0.04,0.0395,0.003,0.0025,
3,2,A,10,0.042,0.049,0.047,0.045,0.039,0.039,0.04,0.039,0.0395,0.0395,0.0025,0.0095,
3,2,B,10,0.04,0.043,0.047,0.046,0.039,0.039,0.039,0.04,0.039,0.039,0.001,0.004,
3,2,C,10,0.113,0.107,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.074,0.068,
3,2,D,10,0.061,0.061,0.047,0.044,0.04,0.038,0.04,0.039,0.04,0.038,0.021,0.023,
3,2,E,10,0.054,0.047,0.049,0.048,0.04,0.041,0.04,0.041,0.04,0.04,0.014,0.007,
3,2,F,10,0.059,0.051,0.049,0.045,0.04,0.038,0.04,0.038,0.04,0.0395,0.019,0.0115,
3,2,G,10,0.113,0.105,0.051,0.047,0.043,0.041,0.043,0.041,0.043,0.0395,0.07,0.0655,
3,2,H,10,0.052,0.06,0.05,0.046,0.039,0.038,0.041,0.04,0.04,0.0395,0.012,0.0205,
3,2,A,11,0.043,0.043,0.047,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.003,0.003,
3,2,B,11,0.041,0.043,0.047,0.046,0.039,0.039,0.039,0.039,0.039,0.0395,0.002,0.0035,
3,2,C,11,0.043,0.042,0.048,0.046,0.039,0.038,0.039,0.039,0.039,0.0385,0.004,0.0035,
3,2,D,11,0.042,0.042,0.047,0.044,0.038,0.038,0.039,0.039,0.0385,0.0385,0.0035,0.0035,
3,2,E,11,0.041,0.041,0.047,0.046,0.039,0.039,0.04,0.04,0.0395,0.039,0.0015,0.002,
3,2,F,11,0.045,0.046,0.052,0.051,0.041,0.043,0.041,0.043,0.041,0.0415,0.004,0.0045,
3,2,G,11,0.041,0.044,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.0405,0.002,0.0035,
3,2,H,11,0.045,0.043,0.047,0.045,0.039,0.038,0.041,0.04,0.04,0.0385,0.005,0.0045,
3,2,A,12,0.047,0.048,0.049,0.046,0.04,0.039,0.04,0.04,0.04,0.0395,0.007,0.0085,
3,2,B,12,0.041,0.04,0.046,0.044,0.039,0.038,0.039,0.038,0.039,0.039,0.002,0.001,
3,2,C,12,0.041,0.042,0.047,0.044,0.039,0.038,0.038,0.038,0.0385,0.038,0.0025,0.004,
3,2,D,12,0.057,0.058,0.047,0.045,0.039,0.038,0.039,0.039,0.039,0.038,0.018,0.02,
3,2,E,12,0.04,0.04,0.047,0.045,0.04,0.039,0.039,0.039,0.0395,0.039,0.0005,0.001,
3,2,F,12,0.042,0.041,0.048,0.046,0.04,0.039,0.04,0.039,0.04,0.039,0.002,0.002,
3,2,G,12,0.04,0.039,0.047,0.044,0.039,0.038,0.04,0.039,0.0395,0.0385,0.0005,0.0005,
