round,device,plate,row,col,tire,microbe,co2
3,1,2,e,9,5,n,661
3,1,2,f,9,5,n,576
3,1,2,g,9,5,n,492
3,1,2,h,9,5,n,407
3,1,2,a,10,5,y,1000
3,1,2,b,10,5,y,915
3,1,2,c,10,5,y,831
3,1,2,d,10,5,y,746
3,1,2,e,10,5,y,661
3,1,2,f,10,5,y,576
3,1,2,g,10,5,y,492
3,1,2,h,10,5,y,407
3,1,2,a,11,5,n,1000
3,1,2,b,11,5,n,915
3,1,2,c,11,5,n,831
3,1,2,d,11,5,n,746
3,1,2,e,11,5,n,661
3,1,2,f,11,5,n,576
3,1,2,g,11,5,n,492
3,1,2,h,11,5,n,407
3,1,2,a,12,5,y,1000
3,1,2,b,12,5,y,915
3,1,2,c,12,5,y,831
3,1,2,d,12,5,y,746
3,1,2,e,12,5,y,661
3,1,2,f,12,5,y,576
3,1,2,g,12,5,y,492
3,1,2,h,12,5,y,407
3,2,3,a,1,10,n,1000
3,2,3,b,1,10,n,915
3,2,3,c,1,10,n,831
3,2,3,d,1,10,n,746
3,2,3,e,1,10,n,661
3,2,3,f,1,10,n,576
3,2,3,g,1,10,n,492
3,2,3,h,1,10,n,407
3,2,3,a,2,10,y,1000
3,2,3,b,2,10,y,915
3,2,3,c,2,10,y,831
3,2,3,d,2,10,y,746
3,2,3,e,2,10,y,661
3,2,3,f,2,10,y,576
3,2,3,g,2,10,y,492
3,2,3,h,2,10,y,407
3,2,3,a,3,10,n,1000
3,2,3,b,3,10,n,915
3,2,3,c,3,10,n,831
3,2,3,d,3,10,n,746
3,2,3,e,3,10,n,661
3,2,3,f,3,10,n,576
3,2,3,g,3,10,n,492
3,2,3,h,3,10,n,407
3,2,3,a,4,10,y,1000
3,2,3,b,4,10,y,915
3,2,3,c,4,10,y,831
3,2,3,d,4,10,y,746
3,2,3,e,4,10,y,661
3,2,3,f,4,10,y,576
3,2,3,g,4,10,y,492
3,2,3,h,4,10,y,407
3,2,3,a,5,10,n,1000
3,2,3,b,5,10,n,915
3,2,3,c,5,10,n,831
3,2,3,d,5,10,n,746
3,2,3,e,5,10,n,661
3,2,3,f,5,10,n,576
3,2,3,g,5,10,n,492
3,2,3,h,5,10,n,407
3,2,3,a,6,10,y,1000
3,2,3,b,6,10,y,915
3,2,3,c,6,10,y,831
3,2,3,d,6,10,y,746
3,2,3,e,6,10,y,661
3,2,3,f,6,10,y,576
3,2,3,g,6,10,y,492
3,2,3,h,6,10,y,407
3,2,3,a,7,10,n,1000
3,2,3,b,7,10,n,915
3,2,3,c,7,10,n,831
3,2,3,d,7,10,n,746
3,2,3,e,7,10,n,661
3,2,3,f,7,10,n,576
3,2,3,g,7,10,n,492
3,2,3,h,7,10,n,407
3,2,3,a,8,10,y,1000
3,2,3,b,8,10,y,915
3,2,3,c,8,10,y,831
3,2,3,d,8,10,y,746
3,2,3,e,8,10,y,661
3,2,3,f,8,10,y,576
3,2,3,g,8,10,y,492
3,2,3,h,8,10,y,407
3,2,3,a,9,10,n,1000
3,2,3,b,9,10,n,915
3,2,3,c,9,10,n,831
3,2,3,d,9,10,n,746
3,2,3,e,9,10,n,661
3,2,3,f,9,10,n,576
3,2,3,g,9,10,n,492
3,2,3,h,9,10,n,407
3,2,3,a,10,10,y,1000
3,2,3,b,10,10,y,915
3,2,3,c,10,10,y,831
3,2,3,d,10,10,y,746
3,2,3,e,10,10,y,661
3,2,3,f,10,10,y,576
3,2,3,g,10,10,y,492
3,2,3,h,10,10,y,407
3,2,3,a,11,10,n,1000
3,2,3,b,11,10,n,915
3,2,3,c,11,10,n,831
3,2,3,d,11,10,n,746
3,2,3,e,11,10,n,661
3,2,3,f,11,10,n,576
3,2,3,g,11,10,n,492
3,2,3,h,11,10,n,407
3,2,3,a,12,10,y,1000
3,2,3,b,12,10,y,915
3,2,3,c,12,10,y,831
3,2,3,d,12,10,y,746
3,2,3,e,12,10,y,661
